text,edit_history_tweet_ids,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
"@abdaaif00987 Hi Abdullah, can you confirm if you are still able to access your account. Keep us posted.",['1976970428464664934'],2025-10-11 11:17:35+00:00,1976970428464664934,0,2,0,0,0,13,0,0,11
@Electronic47651 Hi there. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,['1976969029181923439'],2025-10-11 11:12:01+00:00,1976969029181923439,0,0,0,0,0,13,0,0,11
@LawraB26327 Hi Lawra. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,['1976957949537857973'],2025-10-11 10:27:59+00:00,1976957949537857973,0,1,0,0,0,20,0,0,10
@usa_franci94172 Hi there. Let's see what we can do to help. Look out for a DM with next steps.,['1976953043498217550'],2025-10-11 10:08:30+00:00,1976953043498217550,0,2,0,0,0,26,0,0,10
@AliAhmed344396 Hmm. We'd like to move this conversation to DM. Please follow us and let us know when you have so we can share next steps.,['1976952753571209423'],2025-10-11 10:07:21+00:00,1976952753571209423,0,1,0,0,0,15,0,0,10
@RajeevKuma26110 Hmm. Let's see what we can do to help. Look out for a DM with next steps.,['1976938068897608056'],2025-10-11 09:09:00+00:00,1976938068897608056,0,3,1,0,0,15,1,0,9
@guddubind169 Hi Guddu. Let's see what we can do to help. Look out for a DM with next steps.,['1976937058057834915'],2025-10-11 09:04:59+00:00,1976937058057834915,0,0,1,0,0,17,1,0,9
@RahulRD543547 @RahulRD543547 Hi Rahul. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,['1976936966227697744'],2025-10-11 09:04:37+00:00,1976936966227697744,0,0,0,0,0,16,0,0,9
"@AliAhmed344396 Hi there. Just to confirm, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",['1976933285138669898'],2025-10-11 08:49:59+00:00,1976933285138669898,0,1,0,0,0,19,0,0,8
@meshbiddle Hi Meshach. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,['1976932525151854766'],2025-10-11 08:46:58+00:00,1976932525151854766,0,2,0,0,0,18,0,0,8
@RajeevKuma26110 Hi Rajeev. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,['1976930776592552285'],2025-10-11 08:40:01+00:00,1976930776592552285,0,2,0,0,0,12,0,0,8
@s15088008 Hmm. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,['1976919973189615985'],2025-10-11 07:57:05+00:00,1976919973189615985,0,0,0,0,0,15,0,0,7
"@Sha46421Aradhya Hi Aradhya. To sign in and reset your password, follow the steps at https://t.co/5DgrZkT83a. If you are unable to sign in, these tips may help: https://t.co/vQSZijYFh6. Learn how to set strong, secure passwords here: https://t.co/g7QByQhrAn. Keep us posted.",['1976919679584116878'],2025-10-11 07:55:55+00:00,1976919679584116878,0,0,0,0,0,15,0,0,7
"@FAltnblk Got it. You can skip that step using ""Try another way"" but we suggest answering all questions as best as you can. Keep us posted.",['1976919541553701070'],2025-10-11 07:55:22+00:00,1976919541553701070,0,2,1,0,0,26,1,0,7
@RijuRoy1287305 @gmail @RijuRoy1287305 Hi Riju. We'd like to move this conversation to DM. Please follow us and let us know when you have so we can share next steps.,['1976919300871975175'],2025-10-11 07:54:25+00:00,1976919300871975175,0,0,0,0,0,13,0,0,7
"@FAltnblk Hi there. Just to confirm, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",['1976914180033703960'],2025-10-11 07:34:04+00:00,1976914180033703960,0,1,1,0,0,23,1,0,7
@AnkitaMish57748 Hmm. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,['1976902984790429858'],2025-10-11 06:49:35+00:00,1976902984790429858,0,1,0,0,0,23,0,0,6
