id,created_at,edit_history_tweet_ids,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
1968837480062267728,2025-09-19 00:40:09+00:00,['1968837480062267728'],"🚨🇵🇱 Szczęsny on his future: “I am backup to Joan García, and will remain so”.

“My role is to prepare him for the biggest matches. He's already one of the best goalkeepers in Europe, but I want to prepare him for the highest level. I will try to help him”. https://t.co/p5v3J01Wch",4761,690,104456,429,1039,3688798,104456,4761,0
1968806932866633866,2025-09-18 22:38:46+00:00,['1968806932866633866'],"🔵🔴 Marcus Rashford: “I feel the confidence that coach Hansi Flick has given me”.

“I knew he was a great coach before I got here, but working with him is a real pleasure”. https://t.co/ltq67uT4AA",6112,732,110652,167,874,2539589,110652,6112,22
1968784288104550906,2025-09-18 21:08:47+00:00,['1968784288104550906'],🚨🇵🇹 Excl: Matteo Tognozzi agrees to become new Rio Ave director as he joins Marinakis project for long term. https://t.co/qUeF3abiDR,489,282,12118,58,91,1093252,12118,489,21
1968781936278544668,2025-09-18 20:59:26+00:00,['1968781936278544668'],"Rashford wins it for Barça! 🏴󠁧󠁢󠁥󠁮󠁧󠁿

Who’s your Man of the Match? https://t.co/Muc9Z90NAM",3861,1330,70220,256,420,2059949,70220,3861,20
1968781615078793265,2025-09-18 20:58:09+00:00,['1968781615078793265'],"Haaland breaking records! 🌪️5️⃣0️⃣

Who’s your Man of the Match? https://t.co/iJPICxd03e",1216,529,22724,31,85,915724,22724,1216,20
1968781508786757685,2025-09-18 20:57:44+00:00,['1968781508786757685'],Eintracht make it 5! Who’s your Man of the Match? 🇩🇪 https://t.co/okt827DM24,997,733,26715,77,142,1381216,26715,997,20
1968781380084465877,2025-09-18 20:57:13+00:00,['1968781380084465877'],Big win for Sporting! Who’s your Man of the Match? 🦁 https://t.co/6osZ8sE0FO,1203,318,30978,62,105,1078866,30978,1203,20
1968775423770190106,2025-09-18 20:33:33+00:00,"['1968773657091563678', '1968775423770190106']","🔵🔴 First and then second goals as Barcelona player for Marcus Rashford! 

Special moment as he scores in England, at St James Park, in Champions League. https://t.co/ImJEIPmQZB",5603,1008,87102,129,415,2091560,87102,5603,20
1968772633467519304,2025-09-18 20:22:28+00:00,['1968772633467519304'],"🚨 Erling Haaland becomes the fastest player ever to reach 50 Champions League goals.

Job done in 49 (!) games. 🤖 https://t.co/IsIvUX4xBc",7129,953,81166,466,694,1936426,81166,7129,20
1968733934935527687,2025-09-18 17:48:42+00:00,['1968733934935527687'],🚨 Dean Huijsen on his red card appeal rejected: “The error has been admitted but the sanction stays… good image for Spanish football!”. https://t.co/MVFHgZRdor,2162,684,37326,224,515,2073142,37326,2162,17
